"Id","Kingdom","Phylum","Class","Order","Family","Genus","Species","Label"
"pH","Ev","Ev","Ev","Ev","Ev","Ev","Ev","pH"
"SOC","Ev","Ev","Ev","Ev","Ev","Ev","Ev","SOC"
"F","Ev","Ev","Ev","Ev","Ev","Ev","Ev","F"
"Cl","Ev","Ev","Ev","Ev","Ev","Ev","Ev","Cl"
"PO4","Ev","Ev","Ev","Ev","Ev","Ev","Ev","PO4"
"SO4","Ev","Ev","Ev","Ev","Ev","Ev","Ev","SO4"
"Cr","Ev","Ev","Ev","Ev","Ev","Ev","Ev","Cr"
"Cu","Ev","Ev","Ev","Ev","Ev","Ev","Ev","Cu"
"Cd","Ev","Ev","Ev","Ev","Ev","Ev","Ev","Cd"
"Pb","Ev","Ev","Ev","Ev","Ev","Ev","Ev","Pb"
"Zn","Ev","Ev","Ev","Ev","Ev","Ev","Ev","Zn"
"As","Ev","Ev","Ev","Ev","Ev","Ev","Ev","As"
"Sb","Ev","Ev","Ev","Ev","Ev","Ev","Ev","Sb"
"Ni","Ev","Ev","Ev","Ev","Ev","Ev","Ev","Ni"
"Th","Ev","Ev","Ev","Ev","Ev","Ev","Ev","Th"
"Tl","Ev","Ev","Ev","Ev","Ev","Ev","Ev","Tl"
"U","Ev","Ev","Ev","Ev","Ev","Ev","Ev","U"
"Mo","Ev","Ev","Ev","Ev","Ev","Ev","Ev","Mo"
"Co","Ev","Ev","Ev","Ev","Ev","Ev","Ev","Co"
"Se","Ev","Ev","Ev","Ev","Ev","Ev","Ev","Se"
"OTU_5","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Unassigned","OTU_5"
"OTU_2","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Pelagibacterium","Pelagibacterium_halotolerans","OTU_2"
"OTU_1","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Halomonas_alkaliphila","OTU_1"
"OTU_3","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Chelativorans","Unassigned","OTU_3"
"OTU_8","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Unassigned","Unassigned","OTU_8"
"OTU_12","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Unassigned","Unassigned","OTU_12"
"OTU_13","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","Thiobacillus","Thiobacillus_thioparus","OTU_13"
"OTU_14","Bacteria","Acidobacteria","Acidobacteria_Gp16","Unassigned","Unassigned","Unassigned","Unassigned","OTU_14"
"OTU_21","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Meiothermus","Unassigned","OTU_21"
"OTU_20","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_20"
"OTU_22","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","OTU_22"
"OTU_23","Bacteria","Verrucomicrobia","Spartobacteria","Unassigned","Unassigned","Spartobacteria_genera_incertae_sedis","Unassigned","OTU_23"
"OTU_24","Bacteria","Acidobacteria","Acidobacteria_Gp4","Unassigned","Unassigned","Unassigned","Unassigned","OTU_24"
"OTU_26","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium_manausense","OTU_26"
"OTU_27","Bacteria","Acidobacteria","Acidobacteria_Gp16","Unassigned","Unassigned","Gp16","Unassigned","OTU_27"
"OTU_28","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pluralibacter","Unassigned","OTU_28"
"OTU_35","Bacteria","Verrucomicrobia","Spartobacteria","Unassigned","Unassigned","Unassigned","Unassigned","OTU_35"
"OTU_32","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","OTU_32"
"OTU_38","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_38"
"OTU_39","Bacteria","Acidobacteria","Acidobacteria_Gp4","Unassigned","Unassigned","Unassigned","Unassigned","OTU_39"
"OTU_40","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bosea","Bosea_lathyri","OTU_40"
"OTU_41","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Unassigned","Unassigned","OTU_41"
"OTU_43","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_43"
"OTU_47","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium_yuanmingense","OTU_47"
"OTU_49","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_49"
"OTU_52","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Arthrobacter","Arthrobacter_psychrochitiniphilus","OTU_52"
"OTU_54","Bacteria","Acidobacteria","Acidobacteria_Gp4","Unassigned","Unassigned","Gp4","Unassigned","OTU_54"
"OTU_53","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_53"
"OTU_56","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned","OTU_56"
"OTU_57","Bacteria","Acidobacteria","Acidobacteria_Gp16","Unassigned","Unassigned","Gp16","Unassigned","OTU_57"
"OTU_58","Bacteria","Acidobacteria","Acidobacteria_Gp7","Unassigned","Unassigned","Gp7","Unassigned","OTU_58"
"OTU_59","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_59"
"OTU_64","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","Unassigned","OTU_64"
"OTU_63","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis","Methyloversatilis_thermotolerans","OTU_63"
"OTU_69","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","OTU_69"
"OTU_71","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Unassigned","OTU_71"
"OTU_79","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_79"
"OTU_81","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_81"
"OTU_83","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","OTU_83"
"OTU_84","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter_gandensis","OTU_84"
"OTU_88","Bacteria","Verrucomicrobia","Spartobacteria","Unassigned","Unassigned","Unassigned","Unassigned","OTU_88"
"OTU_87","Bacteria","Acidobacteria","Acidobacteria_Gp17","Unassigned","Unassigned","Gp17","Unassigned","OTU_87"
"OTU_90","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_90"
"OTU_92","Bacteria","Verrucomicrobia","Spartobacteria","Unassigned","Unassigned","Spartobacteria_genera_incertae_sedis","Unassigned","OTU_92"
"OTU_93","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella","Gaiella_occulta","OTU_93"
"OTU_96","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_96"
"OTU_99","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_99"
"OTU_100","Bacteria","Acidobacteria","Acidobacteria_Gp16","Unassigned","Unassigned","Gp16","Unassigned","OTU_100"
"OTU_101","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_brenneri","OTU_101"
"OTU_105","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","OTU_105"
"OTU_107","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_107"
"OTU_109","Bacteria","Verrucomicrobia","Subdivision3","Unassigned","Unassigned","Subdivision3_genera_incertae_sedis","Unassigned","OTU_109"
"OTU_110","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Xenophilus","Xenophilus_arseniciresistens","OTU_110"
"OTU_112","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Pedomicrobium","Pedomicrobium_americanum","OTU_112"
"OTU_113","Bacteria","Acidobacteria","Acidobacteria_Gp17","Unassigned","Unassigned","Gp17","Unassigned","OTU_113"
"OTU_115","Bacteria","Acidobacteria","Acidobacteria_Gp4","Unassigned","Unassigned","Aridibacter","Aridibacter_kavangonensis","OTU_115"
"OTU_114","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","OTU_114"
"OTU_119","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","OTU_119"
"OTU_121","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","OTU_121"
"OTU_122","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_122"
"OTU_125","Bacteria","Verrucomicrobia","Spartobacteria","Unassigned","Unassigned","Spartobacteria_genera_incertae_sedis","Unassigned","OTU_125"
"OTU_127","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_127"
"OTU_130","Bacteria","Verrucomicrobia","Spartobacteria","Unassigned","Unassigned","Spartobacteria_genera_incertae_sedis","Unassigned","OTU_130"
"OTU_129","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Unassigned","Unassigned","OTU_129"
"OTU_131","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Unassigned","Unassigned","OTU_131"
"OTU_133","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_133"
"OTU_138","Bacteria","Acidobacteria","Acidobacteria_Gp11","Unassigned","Unassigned","Gp11","Unassigned","OTU_138"
"OTU_144","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","Unassigned","OTU_144"
"OTU_146","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_146"
"OTU_150","Bacteria","Acidobacteria","Acidobacteria_Gp16","Unassigned","Unassigned","Unassigned","Unassigned","OTU_150"
"OTU_148","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Unassigned","OTU_148"
"OTU_151","Bacteria","Acidobacteria","Acidobacteria_Gp16","Unassigned","Unassigned","Gp16","Unassigned","OTU_151"
"OTU_153","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","OTU_153"
"OTU_155","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","Hyphomicrobium_vulgare","OTU_155"
"OTU_157","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter_bereziniae","OTU_157"
"OTU_160","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unassigned","Unassigned","OTU_160"
"OTU_162","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_162"
"OTU_166","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_166"
"OTU_168","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas_sediminicola","OTU_168"
"OTU_169","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_169"
"OTU_175","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","OTU_175"
"OTU_179","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas_aurantiaca","OTU_179"
"OTU_187","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_187"
"OTU_188","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_188"
"OTU_191","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_191"
"OTU_192","Bacteria","Proteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_192"
"OTU_193","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_193"
"OTU_194","Bacteria","Acidobacteria","Acidobacteria_Gp17","Unassigned","Unassigned","Gp17","Unassigned","OTU_194"
"OTU_198","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","OTU_198"
"OTU_199","Bacteria","Acidobacteria","Acidobacteria_Gp17","Unassigned","Unassigned","Gp17","Unassigned","OTU_199"
"OTU_204","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_204"
"OTU_214","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","OTU_214"
"OTU_223","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","Unassigned","OTU_223"
"OTU_226","Bacteria","Acidobacteria","Acidobacteria_Gp4","Unassigned","Unassigned","Gp4","Unassigned","OTU_226"
"OTU_228","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","OTU_228"
"OTU_230","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_230"
"OTU_232","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_232"
"OTU_237","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_237"
"OTU_234","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned","OTU_234"
"OTU_235","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Unassigned","OTU_235"
"OTU_236","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Gp1","Unassigned","OTU_236"
"OTU_241","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_241"
"OTU_244","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Unassigned","Unassigned","OTU_244"
"OTU_247","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_247"
"OTU_249","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Unassigned","OTU_249"
"OTU_256","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_256"
"OTU_255","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_255"
"OTU_259","Bacteria","Acidobacteria","Acidobacteria_Gp16","Unassigned","Unassigned","Gp16","Unassigned","OTU_259"
"OTU_262","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Unassigned","Unassigned","OTU_262"
"OTU_267","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_267"
"OTU_270","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas_sediminicola","OTU_270"
"OTU_274","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_274"
"OTU_287","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_287"
"OTU_290","Bacteria","Acidobacteria","Acidobacteria_Gp16","Unassigned","Unassigned","Unassigned","Unassigned","OTU_290"
"OTU_289","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","OTU_289"
"OTU_292","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_292"
"OTU_296","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_296"
"OTU_299","Bacteria","Proteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_299"
"OTU_301","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_301"
"OTU_302","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_302"
"OTU_309","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_309"
"OTU_311","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella","Gaiella_occulta","OTU_311"
"OTU_312","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Unassigned","Unassigned","OTU_312"
"OTU_316","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","OTU_316"
"OTU_321","Bacteria","Acidobacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_321"
"OTU_322","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","OTU_322"
"OTU_335","Bacteria","Acidobacteria","Acidobacteria_Gp4","Unassigned","Unassigned","Gp4","Unassigned","OTU_335"
"OTU_333","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_333"
"OTU_334","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_334"
"OTU_339","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_339"
"OTU_348","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","Unassigned","OTU_348"
"OTU_351","Bacteria","Proteobacteria","Alphaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","OTU_351"
"OTU_354","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_354"
"OTU_356","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","Phenylobacterium_kunshanense","OTU_356"
"OTU_359","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_359"
"OTU_360","Bacteria","Latescibacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_360"
"OTU_367","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_367"
"OTU_366","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_366"
"OTU_376","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_376"
"OTU_384","Bacteria","Acidobacteria","Acidobacteria_Gp17","Unassigned","Unassigned","Gp17","Unassigned","OTU_384"
"OTU_387","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_387"
"OTU_403","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_403"
"OTU_408","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","OTU_408"
"OTU_416","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_416"
"OTU_423","Bacteria","Acidobacteria","Acidobacteria_Gp10","Unassigned","Unassigned","Gp10","Unassigned","OTU_423"
"OTU_422","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_422"
"OTU_426","Bacteria","Acidobacteria","Acidobacteria_Gp16","Unassigned","Unassigned","Gp16","Unassigned","OTU_426"
"OTU_427","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas_aurantiaca","OTU_427"
"OTU_440","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_440"
"OTU_443","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Unassigned","Unassigned","Unassigned","OTU_443"
"OTU_445","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Unassigned","Unassigned","Unassigned","OTU_445"
"OTU_454","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_454"
"OTU_472","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides","Unassigned","OTU_472"
"OTU_480","Bacteria","Verrucomicrobia","Spartobacteria","Unassigned","Unassigned","Spartobacteria_genera_incertae_sedis","Unassigned","OTU_480"
"OTU_481","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_481"
"OTU_486","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas_aurantiaca","OTU_486"
"OTU_487","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_487"
"OTU_493","Bacteria","Acidobacteria","Acidobacteria_Gp4","Unassigned","Unassigned","Gp4","Unassigned","OTU_493"
"OTU_504","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_504"
"OTU_532","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_532"
"OTU_533","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","OTU_533"
"OTU_537","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Unassigned","Unassigned","Unassigned","OTU_537"
"OTU_544","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_544"
"OTU_545","Bacteria","Acidobacteria","Acidobacteria_Gp7","Unassigned","Unassigned","Gp7","Unassigned","OTU_545"
"OTU_555","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_555"
"OTU_566","Bacteria","Acidobacteria","Acidobacteria_Gp4","Unassigned","Unassigned","Aridibacter","Aridibacter_kavangonensis","OTU_566"
"OTU_615","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_615"
"OTU_618","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_618"
"OTU_625","Bacteria","Acidobacteria","Acidobacteria_Gp17","Unassigned","Unassigned","Gp17","Unassigned","OTU_625"
"OTU_628","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_incertae_sedis","Bauldia","Bauldia_consociata","OTU_628"
"OTU_635","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_635"
"OTU_694","Bacteria","Acidobacteria","Acidobacteria_Gp4","Unassigned","Unassigned","Gp4","Unassigned","OTU_694"
"OTU_701","Bacteria","Acidobacteria","Acidobacteria_Gp4","Unassigned","Unassigned","Gp4","Unassigned","OTU_701"
"OTU_706","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_706"
"OTU_728","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","OTU_728"
"OTU_741","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_741"
"OTU_761","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas_aurantiaca","OTU_761"
"OTU_792","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_792"
"OTU_799","Bacteria","Latescibacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_799"
"OTU_818","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","OTU_818"
"OTU_820","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_820"
"OTU_824","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_824"
"OTU_872","Bacteria","Latescibacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_872"
"OTU_898","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_898"
"OTU_902","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_902"
"OTU_905","Bacteria","Acidobacteria","Acidobacteria_Gp17","Unassigned","Unassigned","Gp17","Unassigned","OTU_905"
"OTU_914","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_914"
"OTU_961","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_961"
"OTU_987","Bacteria","Acidobacteria","Acidobacteria_Gp4","Unassigned","Unassigned","Gp4","Unassigned","OTU_987"
"OTU_993","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Unassigned","Unassigned","OTU_993"
"OTU_1052","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_1052"
"OTU_1104","Bacteria","Acidobacteria","Acidobacteria_Gp17","Unassigned","Unassigned","Gp17","Unassigned","OTU_1104"
"OTU_1108","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_1108"
