id,net,net_num,malaria_risk,income,health,household,eligible,temperature,resistance
1,TRUE,1,33,781,56,2,FALSE,21.1,59
2,FALSE,0,42,974,57,4,FALSE,26.5,73
3,FALSE,0,80,502,15,3,FALSE,25.6,65
4,TRUE,1,34,671,20,5,TRUE,21.3,46
5,FALSE,0,44,728,17,5,FALSE,19.2,54
6,FALSE,0,25,1050,48,1,FALSE,25.3,34
7,TRUE,1,19,1146,65,3,FALSE,27.4,45
8,FALSE,0,35,1093,75,5,FALSE,29.8,65
9,FALSE,0,32,1037,60,3,FALSE,27.6,55
10,FALSE,0,40,828,36,3,FALSE,21.3,54
11,FALSE,0,30,889,75,6,FALSE,17.4,33
12,TRUE,1,14,1133,62,3,FALSE,18.9,39
13,TRUE,1,31,807,42,4,FALSE,27.6,37
14,FALSE,0,34,950,53,3,FALSE,24,53
15,FALSE,0,22,1195,90,1,FALSE,24.5,34
16,TRUE,1,54,594,29,5,TRUE,25.5,55
17,TRUE,1,23,936,47,2,FALSE,26.1,32
18,FALSE,0,41,816,30,1,FALSE,17.7,73
19,FALSE,0,37,962,55,2,FALSE,26.7,54
20,TRUE,1,65,431,6,6,TRUE,26.8,38
21,FALSE,0,59,760,36,5,FALSE,28.7,51
22,FALSE,0,59,655,30,4,FALSE,23.6,43
23,FALSE,0,41,896,45,3,FALSE,25.9,53
24,TRUE,1,21,1033,64,7,FALSE,23.4,51
25,FALSE,0,25,1115,62,3,FALSE,27.3,33
26,FALSE,0,27,1139,75,4,FALSE,30.7,37
27,TRUE,1,23,967,71,3,FALSE,21.1,52
28,TRUE,1,26,840,37,3,FALSE,17.8,71
29,FALSE,0,35,946,49,2,FALSE,22.7,63
30,FALSE,0,50,698,25,2,FALSE,22.4,39
31,TRUE,1,50,580,37,6,TRUE,20.3,59
32,FALSE,0,50,762,20,5,FALSE,26.2,47
33,TRUE,1,29,894,53,4,FALSE,26.7,52
34,FALSE,0,30,907,40,4,FALSE,20.3,51
35,FALSE,0,66,682,22,1,FALSE,23.2,84
36,TRUE,1,27,829,67,3,FALSE,22.5,31
37,FALSE,0,51,772,41,4,FALSE,24.5,49
38,FALSE,0,48,730,55,2,FALSE,22.9,23
39,FALSE,0,32,984,51,2,FALSE,24.4,56
40,TRUE,1,21,1016,40,2,FALSE,22.7,63
41,FALSE,0,76,641,56,2,FALSE,26.7,68
42,FALSE,0,59,656,41,3,FALSE,27.1,21
43,TRUE,1,21,963,53,3,FALSE,18.7,53
44,TRUE,1,35,840,41,2,FALSE,26.6,70
45,FALSE,0,25,1110,78,2,FALSE,23.2,42
46,TRUE,1,31,737,76,2,FALSE,16.8,45
47,FALSE,0,48,827,52,2,FALSE,25.3,47
48,FALSE,0,52,810,48,3,FALSE,26.3,53
49,TRUE,1,29,857,46,2,FALSE,24,57
50,TRUE,1,13,1307,67,5,FALSE,21.8,66
51,TRUE,1,26,915,56,1,FALSE,25.7,46
52,FALSE,0,39,826,59,3,FALSE,18,50
53,FALSE,0,46,825,41,4,FALSE,18.7,82
54,FALSE,0,52,864,49,1,FALSE,29.8,54
55,FALSE,0,26,1053,64,3,FALSE,22,50
56,FALSE,0,36,822,33,2,FALSE,23.8,29
57,FALSE,0,53,631,15,1,FALSE,18.9,48
58,FALSE,0,27,1000,52,4,FALSE,22.1,45
59,FALSE,0,48,766,60,5,FALSE,20.3,47
60,FALSE,0,37,893,52,2,FALSE,24.6,40
61,FALSE,0,21,1130,55,3,FALSE,22.1,38
62,FALSE,0,19,1222,65,1,FALSE,23,38
63,FALSE,0,35,1036,69,2,FALSE,30.8,45
64,FALSE,0,49,817,35,2,FALSE,23.6,67
65,FALSE,0,61,743,26,4,FALSE,27.7,62
66,FALSE,0,19,1293,82,3,FALSE,25.5,43
67,FALSE,0,36,732,21,4,FALSE,19.6,24
68,FALSE,0,40,869,52,4,FALSE,26.1,36
69,TRUE,1,27,735,31,4,FALSE,18.6,41
70,TRUE,1,14,1194,70,3,FALSE,19.2,49
71,TRUE,1,13,1259,61,4,FALSE,24.9,38
72,FALSE,0,61,763,35,3,FALSE,25.7,76
73,FALSE,0,43,789,43,4,FALSE,21.4,44
74,TRUE,1,15,1235,88,1,FALSE,25.4,31
75,FALSE,0,27,1003,39,3,FALSE,23.5,46
76,FALSE,0,38,796,43,2,FALSE,20.7,34
77,FALSE,0,45,934,64,2,FALSE,28.9,50
78,FALSE,0,24,1047,71,3,FALSE,17.2,51
79,TRUE,1,30,812,44,2,FALSE,24.4,53
80,FALSE,0,26,960,35,1,FALSE,24,25
81,FALSE,0,29,1044,58,2,FALSE,26.7,51
82,FALSE,0,38,927,55,3,FALSE,24.8,52
83,TRUE,1,14,1229,77,3,FALSE,24.4,28
84,FALSE,0,31,1152,83,4,FALSE,31.2,61
85,TRUE,1,13,1270,78,1,FALSE,18.5,59
86,TRUE,1,19,1137,59,3,FALSE,21.1,80
87,FALSE,0,45,704,30,7,FALSE,17.1,50
88,FALSE,0,49,830,44,5,FALSE,27.3,48
89,TRUE,1,58,666,44,5,TRUE,32,49
90,FALSE,0,41,929,37,2,FALSE,30.4,49
91,FALSE,0,24,1041,69,1,FALSE,21.9,22
92,FALSE,0,38,909,67,3,FALSE,27.7,24
93,FALSE,0,43,885,35,2,FALSE,29.1,47
94,FALSE,0,61,765,45,3,FALSE,31.5,39
95,TRUE,1,20,1082,71,2,FALSE,24.4,48
96,FALSE,0,30,781,39,2,FALSE,17.9,18
97,FALSE,0,27,927,56,4,FALSE,19.2,27
98,FALSE,0,27,945,24,1,FALSE,23.4,32
99,TRUE,1,13,1422,97,3,FALSE,25.6,61
100,TRUE,1,26,969,65,3,FALSE,30,32
101,FALSE,0,39,845,35,3,FALSE,25.4,36
102,TRUE,1,20,1106,94,2,FALSE,22.9,49
103,TRUE,1,44,582,36,3,FALSE,19.9,43
104,TRUE,1,20,986,44,6,FALSE,20.9,50
105,FALSE,0,42,902,29,3,FALSE,23.4,80
106,TRUE,1,24,910,53,5,FALSE,25,32
107,FALSE,0,61,711,53,5,FALSE,25.8,43
108,TRUE,1,18,982,51,3,FALSE,18.1,40
109,FALSE,0,30,935,26,3,FALSE,20.1,69
110,FALSE,0,22,1066,55,2,FALSE,20.1,37
111,TRUE,1,15,1211,83,5,FALSE,21.5,46
112,TRUE,1,42,647,30,2,FALSE,20.6,59
113,TRUE,1,30,665,32,1,FALSE,19.2,33
114,FALSE,0,29,1053,64,6,FALSE,21.8,71
115,FALSE,0,34,1008,66,4,FALSE,26.1,57
116,FALSE,0,29,835,13,2,FALSE,20.8,33
117,FALSE,0,45,890,56,3,FALSE,26.3,54
118,FALSE,0,43,917,43,6,FALSE,30.7,45
119,TRUE,1,13,1220,71,3,FALSE,17.7,52
120,TRUE,1,23,961,43,2,FALSE,25.6,46
121,FALSE,0,33,913,59,3,FALSE,18.2,63
122,TRUE,1,40,663,40,2,FALSE,25.3,29
123,FALSE,0,33,861,49,2,FALSE,20.2,40
124,TRUE,1,24,958,30,2,FALSE,28.6,44
125,TRUE,1,58,592,40,2,FALSE,30.3,34
126,FALSE,0,32,1002,69,7,FALSE,28.5,33
127,TRUE,1,24,959,65,2,FALSE,22.8,47
128,FALSE,0,46,826,40,1,FALSE,26.2,46
129,FALSE,0,57,695,44,2,FALSE,29.6,12
130,FALSE,0,23,1261,91,4,FALSE,26.3,62
131,TRUE,1,14,1274,62,3,FALSE,24.1,51
132,TRUE,1,32,854,48,5,FALSE,22.5,81
133,TRUE,1,16,1246,81,3,FALSE,24,57
134,TRUE,1,27,859,51,4,FALSE,23.8,41
135,FALSE,0,29,1176,79,3,FALSE,26.1,87
136,FALSE,0,43,1048,55,3,FALSE,29.5,87
137,TRUE,1,14,1222,73,4,FALSE,23.5,31
138,FALSE,0,28,1166,57,4,FALSE,32.1,54
139,FALSE,0,40,726,39,6,FALSE,15.6,45
140,FALSE,0,39,942,60,3,FALSE,26.2,50
141,FALSE,0,42,794,54,2,FALSE,18.2,51
142,TRUE,1,15,1046,59,3,FALSE,16.4,30
143,FALSE,0,39,887,52,1,FALSE,23.3,52
144,FALSE,0,30,1067,55,2,FALSE,25.8,72
145,FALSE,0,49,758,43,4,FALSE,22.5,45
146,FALSE,0,55,707,47,2,FALSE,22.1,45
147,FALSE,0,39,873,44,2,FALSE,19.9,67
148,TRUE,1,22,1142,83,1,FALSE,28.4,60
149,FALSE,0,30,920,45,2,FALSE,26.1,25
150,TRUE,1,20,998,40,4,FALSE,21.3,51
151,TRUE,1,22,1124,60,4,FALSE,26.9,71
152,FALSE,0,44,852,41,3,FALSE,22.1,67
153,TRUE,1,19,1051,71,2,FALSE,18.3,53
154,FALSE,0,24,1080,71,2,FALSE,18.4,58
155,TRUE,1,11,1396,97,1,FALSE,23.6,31
156,TRUE,1,44,750,42,2,FALSE,29.2,52
157,TRUE,1,12,1226,73,3,FALSE,17.7,34
158,FALSE,0,42,785,34,2,FALSE,22.1,41
159,FALSE,0,60,718,23,3,FALSE,25.9,61
160,TRUE,1,13,1195,73,2,FALSE,19,32
161,FALSE,0,33,1003,54,3,FALSE,27.6,51
162,FALSE,0,44,896,33,2,FALSE,28.8,54
163,FALSE,0,53,738,33,3,FALSE,24.7,48
164,FALSE,0,29,1176,72,2,FALSE,29,73
165,FALSE,0,59,595,23,2,FALSE,22.4,33
166,TRUE,1,24,885,54,3,FALSE,17.5,56
167,FALSE,0,54,698,39,4,FALSE,21.7,46
168,FALSE,0,53,725,21,2,FALSE,25.9,44
169,FALSE,0,86,353,19,3,FALSE,23.7,54
170,TRUE,1,27,827,31,2,FALSE,26,33
171,TRUE,1,16,1273,78,3,FALSE,31.7,29
172,FALSE,0,28,902,59,2,FALSE,15.8,41
173,FALSE,0,41,835,28,5,FALSE,19.7,72
174,FALSE,0,35,833,40,4,FALSE,18.8,48
175,FALSE,0,73,660,32,3,FALSE,31.8,52
176,TRUE,1,27,786,60,3,FALSE,16.9,45
177,TRUE,1,50,631,40,2,FALSE,24.4,54
178,TRUE,1,21,948,65,3,FALSE,19.6,34
179,TRUE,1,22,911,34,5,FALSE,17.9,64
180,TRUE,1,12,1287,57,3,FALSE,21.8,56
181,TRUE,1,21,987,40,4,FALSE,25.7,36
182,TRUE,1,55,529,36,2,FALSE,21.6,48
183,FALSE,0,27,1013,48,4,FALSE,21.6,58
184,FALSE,0,37,964,62,2,FALSE,25.2,55
185,TRUE,1,39,810,34,3,FALSE,28.2,68
186,FALSE,0,48,850,58,3,FALSE,27.9,39
187,FALSE,0,76,523,29,2,FALSE,22.6,63
188,TRUE,1,53,599,18,3,FALSE,24.8,62
189,TRUE,1,21,1116,76,5,FALSE,28.1,45
190,TRUE,1,27,946,70,5,FALSE,29.1,34
191,FALSE,0,17,1258,50,2,FALSE,25.2,32
192,FALSE,0,40,904,49,2,FALSE,25,54
193,FALSE,0,34,1007,52,7,FALSE,29.8,47
194,FALSE,0,53,834,39,3,FALSE,25.6,72
195,TRUE,1,37,623,20,5,TRUE,17.7,55
196,FALSE,0,36,967,47,3,FALSE,29.4,42
197,FALSE,0,41,693,29,3,FALSE,17.1,33
198,TRUE,1,28,848,42,3,FALSE,26.2,39
199,FALSE,0,75,503,34,2,FALSE,21.6,52
200,TRUE,1,15,1113,47,3,FALSE,20.4,41
201,TRUE,1,12,1388,86,2,FALSE,25.6,55
202,TRUE,1,39,593,28,6,TRUE,18.6,43
203,FALSE,0,66,633,34,3,FALSE,25.8,46
204,FALSE,0,53,731,46,3,FALSE,24.4,37
205,FALSE,0,28,1110,65,2,FALSE,23.8,74
206,FALSE,0,54,902,64,5,FALSE,32,52
207,TRUE,1,20,1071,67,2,FALSE,23.3,51
208,FALSE,0,23,952,33,2,FALSE,18.2,24
209,FALSE,0,24,1025,59,2,FALSE,16.2,57
210,FALSE,0,33,954,57,2,FALSE,27.3,33
211,FALSE,0,57,782,62,3,FALSE,29,35
212,FALSE,0,48,899,58,2,FALSE,26.9,60
213,TRUE,1,26,896,62,2,FALSE,23.7,41
214,TRUE,1,22,1080,93,3,FALSE,30.7,23
215,TRUE,1,24,1000,31,1,FALSE,25.1,72
216,FALSE,0,26,1000,55,4,FALSE,25.6,14
217,TRUE,1,32,875,46,2,FALSE,29.2,56
218,FALSE,0,75,501,26,3,FALSE,20.8,62
219,TRUE,1,22,999,37,4,FALSE,27.4,39
220,TRUE,1,28,995,73,5,FALSE,29.9,54
221,FALSE,0,42,877,66,2,FALSE,22.3,54
222,TRUE,1,50,573,31,6,TRUE,19.9,62
223,FALSE,0,72,606,51,4,FALSE,24.3,54
224,FALSE,0,34,906,56,4,FALSE,22.5,44
225,FALSE,0,54,859,58,1,FALSE,28.3,60
226,TRUE,1,22,878,32,2,FALSE,17.1,59
227,FALSE,0,47,754,16,3,FALSE,27.1,35
228,TRUE,1,41,529,26,3,FALSE,18.5,28
229,FALSE,0,62,724,41,4,FALSE,27.9,50
230,FALSE,0,46,873,53,5,FALSE,28.3,44
231,TRUE,1,28,821,52,3,FALSE,24.9,34
232,TRUE,1,22,983,66,3,FALSE,20.9,49
233,TRUE,1,17,1133,69,3,FALSE,26.6,29
234,FALSE,0,41,889,53,1,FALSE,25,50
235,TRUE,1,19,1082,78,2,FALSE,24.1,39
236,TRUE,1,29,695,19,2,FALSE,16,61
237,FALSE,0,35,1060,72,2,FALSE,24.4,81
238,FALSE,0,32,840,41,4,FALSE,20.3,35
239,TRUE,1,19,1121,76,2,FALSE,21.9,62
240,TRUE,1,17,1206,76,4,FALSE,24.5,59
241,TRUE,1,43,550,24,3,FALSE,17.6,47
242,TRUE,1,22,999,89,3,FALSE,20.8,41
243,FALSE,0,54,818,52,2,FALSE,23.9,70
244,FALSE,0,28,909,63,3,FALSE,20.7,20
245,TRUE,1,15,1231,82,2,FALSE,25.6,39
246,FALSE,0,39,865,34,4,FALSE,29,28
247,TRUE,1,13,1340,65,2,FALSE,22.6,67
248,FALSE,0,46,855,66,6,FALSE,24.8,45
249,TRUE,1,19,1061,45,6,FALSE,25.2,40
250,FALSE,0,68,765,70,4,FALSE,22.8,92
251,TRUE,1,61,523,16,2,FALSE,27.9,47
252,TRUE,1,13,1232,76,2,FALSE,19.4,41
253,FALSE,0,68,705,53,3,FALSE,28.1,52
254,TRUE,1,16,1155,75,2,FALSE,24.6,26
255,FALSE,0,57,724,51,3,FALSE,22.2,54
256,FALSE,0,30,993,45,4,FALSE,26.7,46
257,FALSE,0,44,784,46,2,FALSE,19.2,54
258,FALSE,0,54,687,21,2,FALSE,25.6,34
259,FALSE,0,20,1255,69,3,FALSE,28.1,33
260,FALSE,0,29,953,58,5,FALSE,22.3,38
261,TRUE,1,19,935,43,5,FALSE,18.4,37
262,TRUE,1,43,776,40,5,FALSE,27.7,66
263,FALSE,0,44,999,89,3,FALSE,26.3,70
264,TRUE,1,38,637,9,6,TRUE,22.7,45
265,FALSE,0,36,1041,78,3,FALSE,30.9,43
266,FALSE,0,74,541,42,3,FALSE,24.6,43
267,FALSE,0,43,816,43,2,FALSE,22.3,49
268,TRUE,1,26,994,73,2,FALSE,28.3,49
269,FALSE,0,45,919,81,1,FALSE,25.6,52
270,TRUE,1,21,966,39,3,FALSE,25,37
271,FALSE,0,32,900,50,5,FALSE,22.7,36
272,FALSE,0,46,773,32,1,FALSE,19.3,64
273,FALSE,0,52,876,61,1,FALSE,31.4,40
274,TRUE,1,30,799,34,2,FALSE,23.8,52
275,TRUE,1,13,1281,64,4,FALSE,24.2,47
276,FALSE,0,29,872,49,4,FALSE,18.3,34
277,FALSE,0,36,923,32,6,FALSE,25.6,56
278,TRUE,1,25,923,35,3,FALSE,25.4,50
279,TRUE,1,25,1127,95,1,FALSE,29.8,67
280,TRUE,1,25,933,54,3,FALSE,24.3,49
281,TRUE,1,24,884,49,4,FALSE,20.7,43
282,TRUE,1,17,1083,54,2,FALSE,18.7,51
283,TRUE,1,22,918,53,2,FALSE,22.3,31
284,TRUE,1,10,1353,80,2,FALSE,20.1,36
285,FALSE,0,61,788,33,1,FALSE,31.4,55
286,FALSE,0,42,869,35,2,FALSE,27.8,43
287,TRUE,1,17,1215,61,1,FALSE,29,47
288,FALSE,0,29,995,61,2,FALSE,23.3,46
289,FALSE,0,43,864,31,1,FALSE,29.2,39
290,FALSE,0,34,780,29,3,FALSE,21.7,19
291,FALSE,0,57,691,33,2,FALSE,22.7,52
292,FALSE,0,87,397,15,1,FALSE,27,58
293,TRUE,1,12,1376,81,1,FALSE,30,30
294,FALSE,0,34,996,59,5,FALSE,23.3,68
295,TRUE,1,21,947,57,4,FALSE,17.3,53
296,TRUE,1,17,1246,74,4,FALSE,24.8,66
297,FALSE,0,23,1156,50,6,FALSE,29.8,34
298,FALSE,0,35,967,41,1,FALSE,27.9,50
299,TRUE,1,20,951,48,1,FALSE,18.9,46
300,TRUE,1,18,1088,67,4,FALSE,18.7,58
301,FALSE,0,30,1013,80,4,FALSE,25.2,40
302,TRUE,1,42,696,34,1,FALSE,26.1,47
303,FALSE,0,36,833,33,4,FALSE,25.8,23
304,FALSE,0,55,663,53,4,FALSE,20.3,37
305,FALSE,0,39,909,49,3,FALSE,25.7,49
306,FALSE,0,26,1009,72,3,FALSE,19.5,38
307,TRUE,1,19,1016,59,2,FALSE,20.1,47
308,FALSE,0,30,1066,81,1,FALSE,28.1,41
309,TRUE,1,43,795,55,3,FALSE,29.6,56
310,FALSE,0,35,849,33,3,FALSE,18.1,64
311,FALSE,0,29,1018,80,2,FALSE,24.5,36
312,FALSE,0,27,991,44,3,FALSE,22.1,43
313,FALSE,0,56,778,35,4,FALSE,25,68
314,TRUE,1,18,1000,56,1,FALSE,22.6,17
315,TRUE,1,30,708,46,2,FALSE,18.2,43
316,FALSE,0,86,442,28,4,FALSE,24.8,76
317,FALSE,0,63,782,47,4,FALSE,25.8,78
318,FALSE,0,27,1105,63,2,FALSE,27.6,50
319,FALSE,0,27,1070,52,2,FALSE,28.9,36
320,TRUE,1,45,617,25,4,FALSE,23.2,50
321,TRUE,1,33,684,18,4,FALSE,22.9,38
322,TRUE,1,26,945,65,2,FALSE,20.9,68
323,TRUE,1,10,1398,100,2,FALSE,21.7,36
324,TRUE,1,20,1058,56,4,FALSE,24.2,53
325,FALSE,0,75,613,27,1,FALSE,29.9,56
326,FALSE,0,42,788,23,1,FALSE,24.6,37
327,TRUE,1,24,1005,63,9,FALSE,24,60
328,FALSE,0,41,692,26,1,FALSE,17.1,37
329,FALSE,0,67,773,60,2,FALSE,30.6,56
330,FALSE,0,41,863,43,5,FALSE,21.7,63
331,FALSE,0,33,918,55,3,FALSE,24.6,34
332,FALSE,0,50,768,54,2,FALSE,18.8,63
333,FALSE,0,47,790,41,4,FALSE,24.9,41
334,TRUE,1,42,713,38,4,FALSE,26.2,52
335,TRUE,1,18,1174,67,2,FALSE,25.9,50
336,FALSE,0,26,941,43,3,FALSE,17.5,42
337,FALSE,0,29,1000,57,4,FALSE,22.6,51
338,FALSE,0,28,845,21,3,FALSE,19.7,30
339,FALSE,0,35,952,39,3,FALSE,28.1,46
340,TRUE,1,19,1217,90,6,FALSE,27.9,59
341,FALSE,0,46,708,34,3,FALSE,23.8,17
342,FALSE,0,23,1052,61,1,FALSE,21.6,27
343,FALSE,0,57,546,24,3,FALSE,17.8,31
344,FALSE,0,41,752,33,2,FALSE,22.8,25
345,FALSE,0,37,1011,49,3,FALSE,30.7,53
346,FALSE,0,47,808,17,2,FALSE,30.8,34
347,FALSE,0,25,932,54,6,FALSE,19.4,17
348,FALSE,0,57,760,30,2,FALSE,30.9,39
349,FALSE,0,33,964,46,2,FALSE,27.4,42
350,FALSE,0,26,1078,71,3,FALSE,20.9,60
351,FALSE,0,21,1134,81,2,FALSE,19.9,32
352,TRUE,1,36,806,45,6,FALSE,25.1,64
353,FALSE,0,47,797,28,3,FALSE,24.6,53
354,FALSE,0,45,842,20,2,FALSE,27.6,53
355,FALSE,0,24,949,27,3,FALSE,18.3,36
356,FALSE,0,55,785,51,7,FALSE,21.3,75
357,FALSE,0,66,688,39,3,FALSE,29.2,45
358,TRUE,1,19,1000,81,3,FALSE,20.2,22
359,FALSE,0,67,507,15,2,FALSE,20.1,45
360,TRUE,1,21,1027,51,4,FALSE,29.9,21
361,FALSE,0,53,774,43,2,FALSE,26.8,43
362,TRUE,1,20,1117,72,2,FALSE,28.5,42
363,FALSE,0,43,964,43,5,FALSE,31.1,57
364,TRUE,1,48,679,32,2,FALSE,25.9,62
365,FALSE,0,40,927,61,2,FALSE,28.2,37
366,FALSE,0,43,848,47,4,FALSE,21.9,59
367,TRUE,1,23,1134,85,2,FALSE,27.7,68
368,FALSE,0,44,914,62,1,FALSE,30.3,37
369,TRUE,1,22,1019,56,3,FALSE,26.7,38
370,TRUE,1,28,879,49,3,FALSE,25.1,57
371,FALSE,0,26,1087,63,3,FALSE,24.3,50
372,FALSE,0,47,802,42,2,FALSE,22.6,55
373,TRUE,1,25,815,19,5,FALSE,16.5,67
374,FALSE,0,53,857,68,3,FALSE,27.6,53
375,FALSE,0,55,896,51,3,FALSE,32,62
376,TRUE,1,27,911,40,6,FALSE,25.6,56
377,FALSE,0,46,880,40,4,FALSE,28.6,54
378,FALSE,0,35,839,49,2,FALSE,17.4,53
379,FALSE,0,39,968,41,2,FALSE,27.5,66
380,FALSE,0,27,920,51,6,FALSE,18.8,34
381,TRUE,1,15,1178,79,3,FALSE,22.7,32
382,TRUE,1,32,756,44,4,FALSE,20.6,56
383,TRUE,1,20,941,29,2,FALSE,20.5,46
384,FALSE,0,32,1061,54,4,FALSE,31.2,49
385,FALSE,0,29,1020,56,3,FALSE,22.9,58
386,TRUE,1,45,605,22,5,TRUE,21.1,58
387,FALSE,0,51,850,40,2,FALSE,31.4,44
388,FALSE,0,59,655,21,2,FALSE,24.7,43
389,FALSE,0,30,939,36,1,FALSE,23,49
390,FALSE,0,65,758,50,2,FALSE,28.2,62
391,TRUE,1,14,1277,60,6,FALSE,25.6,54
392,FALSE,0,63,776,64,2,FALSE,25.8,68
393,TRUE,1,29,936,62,4,FALSE,30.4,47
394,FALSE,0,63,686,50,4,FALSE,22.1,63
395,TRUE,1,23,1083,70,1,FALSE,27.4,60
396,TRUE,1,26,819,59,2,FALSE,16.6,56
397,FALSE,0,57,624,36,2,FALSE,17.5,53
398,FALSE,0,52,629,15,1,FALSE,19.2,44
399,FALSE,0,30,1031,65,1,FALSE,27.1,46
400,FALSE,0,36,999,65,7,FALSE,27.6,51
401,TRUE,1,53,509,22,7,TRUE,21.1,48
402,TRUE,1,19,1035,54,2,FALSE,18.1,61
403,TRUE,1,48,707,51,5,FALSE,28.9,46
404,TRUE,1,17,1062,67,3,FALSE,18.2,47
405,FALSE,0,24,1121,60,2,FALSE,25.8,41
406,FALSE,0,51,693,43,3,FALSE,19.3,46
407,FALSE,0,48,834,61,4,FALSE,25.1,47
408,FALSE,0,28,992,37,1,FALSE,31.4,15
409,FALSE,0,37,853,53,2,FALSE,24.1,29
410,FALSE,0,65,673,37,4,FALSE,27.2,47
411,FALSE,0,35,952,53,2,FALSE,26.9,44
412,FALSE,0,26,1084,62,4,FALSE,28.3,31
413,FALSE,0,23,1118,75,2,FALSE,26.8,20
414,FALSE,0,60,784,42,3,FALSE,31.9,43
415,FALSE,0,28,1065,59,2,FALSE,24.2,57
416,TRUE,1,19,1061,67,2,FALSE,16.2,72
417,FALSE,0,78,462,12,6,TRUE,25.1,47
418,FALSE,0,58,782,58,2,FALSE,23.5,68
419,FALSE,0,54,779,45,3,FALSE,26.4,49
420,TRUE,1,23,1038,83,1,FALSE,24.8,49
421,TRUE,1,26,1036,77,3,FALSE,29.5,52
422,FALSE,0,48,814,54,3,FALSE,26.4,35
423,FALSE,0,26,1181,77,3,FALSE,29.6,47
424,FALSE,0,64,736,44,2,FALSE,27.1,60
425,FALSE,0,28,1024,57,5,FALSE,26.8,37
426,FALSE,0,43,889,51,3,FALSE,27.6,43
427,FALSE,0,42,714,20,2,FALSE,21.1,32
428,FALSE,0,52,680,12,2,FALSE,21.6,53
429,FALSE,0,76,557,18,2,FALSE,28,54
430,TRUE,1,56,550,39,5,TRUE,21.7,57
431,FALSE,0,28,1051,76,6,FALSE,27.3,31
432,FALSE,0,57,739,31,3,FALSE,26.9,49
433,FALSE,0,22,1039,51,2,FALSE,18.4,34
434,TRUE,1,11,1357,87,8,FALSE,20.4,48
435,TRUE,1,26,1096,78,2,FALSE,30.7,66
436,FALSE,0,31,861,43,3,FALSE,19.2,41
437,FALSE,0,63,738,51,1,FALSE,26.7,58
438,FALSE,0,18,1312,71,3,FALSE,27.8,37
439,FALSE,0,28,1102,63,1,FALSE,29.8,41
440,FALSE,0,74,608,42,2,FALSE,26.7,54
441,FALSE,0,43,838,42,2,FALSE,26.4,38
442,FALSE,0,25,1031,56,3,FALSE,23.9,24
443,FALSE,0,37,913,44,4,FALSE,22.3,65
