"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_18",3,1,0,3
"ASV_306",3,1,0,3
"ASV_270",3,1,0,3
"ASV_303",1,1,0,1
"ASV_107",5,1,0,5
"ASV_150",5,1,0,5
"ASV_249",5,1,0,5
"ASV_290",5,1,0,5
"ASV_468",5,1,0,5
"ASV_434",2,1,0,2
"ASV_440",2,1,0,2
"ASV_174",1,1,0,1
"ASV_42",3,1,0,3
"ASV_54",3,1,0,3
"ASV_191",3,1,0,3
"ASV_179",4,1,0,4
"ASV_198",4,1,0,4
"ASV_553",4,1,0,4
"ASV_539",4,1,0,4
"ASV_374",1,1,0,1
"ASV_27",5,1,0,5
"ASV_148",5,1,0,5
"ASV_348",5,1,0,5
"ASV_321",5,1,0,5
"ASV_406",5,1,0,5
"ASV_221",1,1,0,1
"ASV_102",2,1,0,2
"ASV_223",2,1,0,2
"ASV_114",4,1,0,4
"ASV_241",4,1,0,4
"ASV_479",4,1,0,4
"ASV_523",4,1,0,4
"ASV_492",1,1,0,1
"ASV_259",4,1,0,4
"ASV_240",4,1,0,4
"ASV_218",4,1,0,4
"ASV_592",4,1,0,4
"ASV_38",3,1,0,3
"ASV_83",3,1,0,3
"ASV_70",3,1,0,3
"ASV_100",2,1,0,2
"ASV_445",2,1,0,2
"ASV_275",1,1,0,1
"ASV_57",4,1,0,4
"ASV_64",4,1,0,4
"ASV_1591",4,1,0,4
"ASV_244",4,1,0,4
"ASV_448",1,1,0,1
"ASV_111",2,1,0,2
"ASV_130",2,1,0,2
"ASV_113",2,1,0,2
"ASV_718",2,1,0,2
"ASV_178",1,1,0,1
"ASV_126",4,1,0,4
"ASV_431",4,1,0,4
"ASV_330",4,1,0,4
"ASV_380",4,1,0,4
"ASV_128",2,1,0,2
"ASV_160",2,1,0,2
"ASV_489",1,1,0,1
"ASV_166",3,1,0,3
"ASV_81",3,1,0,3
"ASV_497",3,1,0,3
"ASV_394",2,1,0,2
"ASV_314",2,1,0,2
"ASV_353",2,1,0,2
"ASV_436",2,1,0,2
"ASV_72",3,1,0,3
"ASV_278",3,1,0,3
"ASV_413",3,1,0,3
"ASV_161",1,1,0,1
"ASV_74",3,1,0,3
"ASV_99",3,1,0,3
"ASV_239",3,1,0,3
"ASV_393",1,1,0,1
"ASV_53",5,1,0,5
"ASV_289",5,1,0,5
"ASV_484",5,1,0,5
"ASV_343",5,1,0,5
"ASV_728",5,1,0,5
"ASV_217",2,1,0,2
"ASV_526",2,1,0,2
"ASV_499",1,1,0,1
"ASV_157",2,1,0,2
"ASV_391",2,1,0,2
"ASV_228",3,1,0,3
"ASV_283",3,1,0,3
"ASV_236",3,1,0,3
"ASV_478",1,1,0,1
"ASV_326",3,1,0,3
"ASV_433",3,1,0,3
"ASV_588",3,1,0,3
"ASV_447",1,1,0,1
"ASV_116",2,1,0,2
"ASV_390",2,1,0,2
"ASV_412",2,1,0,2
"ASV_710",2,1,0,2
"ASV_301",1,1,0,1
"ASV_338",1,1,0,1
"ASV_263",2,1,0,2
"ASV_377",2,1,0,2
"ASV_463",1,1,0,1
"ASV_250",2,1,0,2
"ASV_245",2,1,0,2
"ASV_193",2,1,0,2
"ASV_296",2,1,0,2
"ASV_138",1,1,0,1
"ASV_234",1,1,0,1
"ASV_340",1,1,0,1
"ASV_135",3,1,0,3
"ASV_428",3,1,0,3
"ASV_659",3,1,0,3
"ASV_219",1,1,0,1
"ASV_87",2,1,0,2
"ASV_152",2,1,0,2
"ASV_247",1,1,0,1
"ASV_162",3,1,0,3
"ASV_407",3,1,0,3
"ASV_254",3,1,0,3
"ASV_299",3,1,0,3
"ASV_396",3,1,0,3
"ASV_414",3,1,0,3
"ASV_153",3,1,0,3
"ASV_669",3,1,0,3
"ASV_666",3,1,0,3
"ASV_383",1,1,0,1
"ASV_331",3,1,0,3
"ASV_341",3,1,0,3
"ASV_552",3,1,0,3
"ASV_316",1,1,0,1
"ASV_355",1,1,0,1
"ASV_230",1,1,0,1
"ASV_422",1,1,0,1
"ASV_212",4,1,0,4
"ASV_302",4,1,0,4
"ASV_300",4,1,0,4
"ASV_529",4,1,0,4
"ASV_242",1,1,0,1
"ASV_594",1,1,0,1
"ASV_105",3,1,0,3
"ASV_229",3,1,0,3
"ASV_202",3,1,0,3
"ASV_187",2,1,0,2
"ASV_288",2,1,0,2
"ASV_349",1,1,0,1
"ASV_470",1,1,0,1
"ASV_69",1,1,0,1
"ASV_281",1,1,0,1
"ASV_213",2,1,0,2
"ASV_421",2,1,0,2
"ASV_203",2,1,0,2
"ASV_2488",2,1,0,2
"ASV_231",1,1,0,1
"ASV_441",1,1,0,1
"ASV_742",1,1,0,1
"ASV_333",1,1,0,1
"ASV_365",1,1,0,1
"ASV_350",1,1,0,1
"ASV_386",3,1,0,3
"ASV_364",3,1,0,3
"ASV_547",3,1,0,3
"ASV_304",1,1,0,1
"ASV_243",2,1,0,2
"ASV_291",2,1,0,2
"ASV_2411",1,1,0,1
"ASV_216",1,1,0,1
"ASV_336",1,1,0,1
"ASV_273",1,1,0,1
"ASV_401",1,1,0,1
"ASV_286",1,1,0,1
"ASV_318",1,1,0,1
"ASV_375",2,1,0,2
"ASV_494",2,1,0,2
"ASV_262",1,1,0,1
"ASV_305",2,1,0,2
"ASV_313",2,1,0,2
"ASV_201",1,1,0,1
"ASV_274",1,1,0,1
"ASV_451",2,1,0,2
"ASV_246",2,1,0,2
"ASV_294",2,1,0,2
"ASV_345",2,1,0,2
"ASV_425",3,1,0,3
"ASV_369",3,1,0,3
"ASV_397",3,1,0,3
"ASV_233",1,1,0,1
"ASV_519",1,1,0,1
"ASV_363",2,1,0,2
"ASV_346",2,1,0,2
"ASV_324",3,1,0,3
"ASV_329",3,1,0,3
"ASV_392",3,1,0,3
"ASV_461",1,1,0,1
"ASV_284",3,1,0,3
"ASV_430",3,1,0,3
"ASV_456",3,1,0,3
"ASV_551",1,1,0,1
"ASV_269",1,1,0,1
"ASV_308",1,1,0,1
"ASV_491",1,1,0,1
"ASV_328",1,1,0,1
"ASV_295",1,1,0,1
"ASV_258",1,1,0,1
"ASV_399",3,1,0,3
"ASV_307",3,1,0,3
"ASV_530",3,1,0,3
"ASV_334",1,1,0,1
"ASV_280",1,1,0,1
"ASV_385",1,1,0,1
"ASV_505",1,1,0,1
"ASV_581",1,1,0,1
"ASV_172",2,1,0,2
"ASV_426",2,1,0,2
"ASV_271",1,1,0,1
"ASV_370",1,1,0,1
"ASV_543",1,1,0,1
"ASV_347",1,1,0,1
"ASV_332",2,1,0,2
"ASV_490",2,1,0,2
"ASV_277",1,1,0,1
"ASV_444",1,1,0,1
"ASV_358",4,1,0,4
"ASV_335",4,1,0,4
"ASV_482",4,1,0,4
"ASV_115",4,1,0,4
"ASV_411",1,1,0,1
"ASV_1348",1,1,0,1
"ASV_542",1,1,0,1
"ASV_927",1,1,0,1
"ASV_472",1,1,0,1
"ASV_344",2,1,0,2
"ASV_630",2,1,0,2
"ASV_628",1,1,0,1
"ASV_460",1,1,0,1
"ASV_504",2,1,0,2
"ASV_398",2,1,0,2
"ASV_359",1,1,0,1
"ASV_2",3,1,0,3
"ASV_3",1,1,0,1
"ASV_4",5,1,0,5
"ASV_8",2,1,0,2
"ASV_7",1,1,0,1
"ASV_9",3,1,0,3
"ASV_11",4,1,0,4
"ASV_13",1,1,0,1
"ASV_20",5,1,0,5
"ASV_16",1,1,0,1
"ASV_10",2,1,0,2
"ASV_28",4,1,0,4
"ASV_17",1,1,0,1
"ASV_21",4,1,0,4
"ASV_33",3,1,0,3
"ASV_34",2,1,0,2
"ASV_19",1,1,0,1
"ASV_26",4,1,0,4
"ASV_23",1,1,0,1
"ASV_35",2,1,0,2
"ASV_32",2,1,0,2
"ASV_52",1,1,0,1
"ASV_36",4,1,0,4
"ASV_22",2,1,0,2
"ASV_30",1,1,0,1
"ASV_46",3,1,0,3
"ASV_49",2,1,0,2
"ASV_47",2,1,0,2
"ASV_24",3,1,0,3
"ASV_45",1,1,0,1
"ASV_50",3,1,0,3
"ASV_39",1,1,0,1
"ASV_44",5,1,0,5
"ASV_41",2,1,0,2
"ASV_61",1,1,0,1
"ASV_48",2,1,0,2
"ASV_86",3,1,0,3
"ASV_93",1,1,0,1
"ASV_77",3,1,0,3
"ASV_59",1,1,0,1
"ASV_76",2,1,0,2
"ASV_62",2,1,0,2
"ASV_56",1,1,0,1
"ASV_95",1,1,0,1
"ASV_66",2,1,0,2
"ASV_65",1,1,0,1
"ASV_78",2,1,0,2
"ASV_89",2,1,0,2
"ASV_92",1,1,0,1
"ASV_112",1,1,0,1
"ASV_84",1,1,0,1
"ASV_119",3,1,0,3
"ASV_97",1,1,0,1
"ASV_73",2,1,0,2
"ASV_85",1,1,0,1
"ASV_101",3,1,0,3
"ASV_104",3,1,0,3
"ASV_98",3,1,0,3
"ASV_103",1,1,0,1
"ASV_106",3,1,0,3
"ASV_124",1,1,0,1
"ASV_122",1,1,0,1
"ASV_159",1,1,0,1
"ASV_136",1,1,0,1
"ASV_43",4,1,0,4
"ASV_134",1,1,0,1
"ASV_169",1,1,0,1
"ASV_129",3,1,0,3
"ASV_108",2,1,0,2
"ASV_125",1,1,0,1
"ASV_204",1,1,0,1
"ASV_123",1,1,0,1
"ASV_143",1,1,0,1
"ASV_186",2,1,0,2
"ASV_142",2,1,0,2
"ASV_67",1,1,0,1
"ASV_149",1,1,0,1
"ASV_180",1,1,0,1
"ASV_168",1,1,0,1
"ASV_163",1,1,0,1
"ASV_158",1,1,0,1
"ASV_208",3,1,0,3
"ASV_177",1,1,0,1
"ASV_237",2,1,0,2
"ASV_140",1,1,0,1
"ASV_147",1,1,0,1
"ASV_144",1,1,0,1
"ASV_209",1,1,0,1
"ASV_261",1,1,0,1
"ASV_235",1,1,0,1
"ASV_170",1,1,0,1
"ASV_164",2,1,0,2
"ASV_222",1,1,0,1
"ASV_192",2,1,0,2
"ASV_215",1,1,0,1
"ASV_188",1,1,0,1
"ASV_227",2,1,0,2
"ASV_194",2,1,0,2
"ASV_141",3,1,0,3
"ASV_167",1,1,0,1
"ASV_205",1,1,0,1
"ASV_185",2,1,0,2
"ASV_1156",3,1,0,3
"ASV_224",1,1,0,1
"ASV_276",3,1,0,3
"ASV_267",1,1,0,1
"ASV_195",1,1,0,1
"ASV_238",1,1,0,1
"ASV_88",1,1,0,1
"ASV_264",1,1,0,1
"ASV_165",1,1,0,1
"ASV_255",1,1,0,1
"ASV_272",3,1,0,3
"ASV_266",1,1,0,1
"ASV_285",1,1,0,1
"ASV_211",1,1,0,1
"ASV_91",1,1,0,1
"ASV_360",1,1,0,1
"ASV_371",2,1,0,2
"ASV_319",1,1,0,1
"ASV_251",1,1,0,1
"ASV_320",1,1,0,1
"ASV_257",1,1,0,1
"ASV_309",2,1,0,2
"ASV_325",1,1,0,1
"ASV_480",1,1,0,1
"ASV_439",4,1,0,4
"ASV_596",1,1,0,1
"ASV_802",1,1,0,1
"ASV_337",1,1,0,1
"ASV_372",1,1,0,1
"ASV_297",1,1,0,1
"ASV_381",2,1,0,2
"ASV_183",1,1,0,1
"ASV_593",1,1,0,1
"ASV_471",2,1,0,2
"ASV_418",1,1,0,1
