,module1,module2,Both,P1A2,P2A1,A1A2,p_raw,p_adj,m1,m2,cross
KOmodel_23-WTmodel_24,KOmodel_23,WTmodel_24,1,3,2,391,0.0299980965797371,0.0299980965797371,KO,WT,KO_Vs_WT
KOmodel_20-WTmodel_24,KOmodel_20,WTmodel_24,1,3,2,391,0.0299980965797371,0.0299980965797371,KO,WT,KO_Vs_WT
KOmodel_10-WTmodel_23,KOmodel_10,WTmodel_23,1,4,2,390,0.0374026912623346,0.0374026912623346,KO,WT,KO_Vs_WT
KOmodel_3-WTmodel_33,KOmodel_3,WTmodel_33,1,5,2,389,0.044769507400633,0.044769507400633,KO,WT,KO_Vs_WT
KOmodel_12-WTmodel_33,KOmodel_12,WTmodel_33,1,4,2,390,0.0374026912623346,0.0374026912623346,KO,WT,KO_Vs_WT
KOmodel_29-WTmodel_37,KOmodel_29,WTmodel_37,1,2,2,392,0.0225556267325229,0.0225556267325229,KO,WT,KO_Vs_WT
KOmodel_25-WTmodel_34,KOmodel_25,WTmodel_34,1,3,2,391,0.0299980965797371,0.0299980965797371,KO,WT,KO_Vs_WT
KOmodel_7-WTmodel_35,KOmodel_7,WTmodel_35,1,4,2,390,0.0374026912623346,0.0374026912623346,KO,WT,KO_Vs_WT
KOmodel_10-WTmodel_22,KOmodel_10,WTmodel_22,1,4,2,390,0.0374026912623346,0.0374026912623346,KO,WT,KO_Vs_WT
KOmodel_1-OEmodel_122,KOmodel_1,OEmodel_12,2,5,2,378,0.00165785308197045,0.00165785308197045,KO,OE,KO_Vs_OE
KOmodel_19-OEmodel_92,KOmodel_19,OEmodel_9,1,3,3,380,0.0408633515973255,0.0408633515973255,KO,OE,KO_Vs_OE
KOmodel_25-OEmodel_82,KOmodel_25,OEmodel_8,1,3,3,380,0.0408633515973255,0.0408633515973255,KO,OE,KO_Vs_OE
KOmodel_28-OEmodel_82,KOmodel_28,OEmodel_8,1,2,3,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_42-OEmodel_62,KOmodel_42,OEmodel_6,1,2,3,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_38-OEmodel_62,KOmodel_38,OEmodel_6,1,2,3,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_26-OEmodel_102,KOmodel_26,OEmodel_10,1,2,3,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_3-OEmodel_152,KOmodel_3,OEmodel_15,1,5,2,379,0.0459112321987369,0.0459112321987369,KO,OE,KO_Vs_OE
KOmodel_22-OEmodel_152,KOmodel_22,OEmodel_15,1,3,2,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_5-OEmodel_172,KOmodel_5,OEmodel_17,1,5,2,379,0.0459112321987369,0.0459112321987369,KO,OE,KO_Vs_OE
KOmodel_27-OEmodel_172,KOmodel_27,OEmodel_17,1,2,2,382,0.0231354218340603,0.0231354218340603,KO,OE,KO_Vs_OE
KOmodel_19-OEmodel_272,KOmodel_19,OEmodel_27,1,3,2,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_37-OEmodel_272,KOmodel_37,OEmodel_27,1,2,2,382,0.0231354218340603,0.0231354218340603,KO,OE,KO_Vs_OE
KOmodel_6-OEmodel_182,KOmodel_6,OEmodel_18,1,5,2,379,0.0459112321987369,0.0459112321987369,KO,OE,KO_Vs_OE
KOmodel_21-OEmodel_142,KOmodel_21,OEmodel_14,1,3,2,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_16-OEmodel_212,KOmodel_16,OEmodel_21,1,3,2,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_21-OEmodel_212,KOmodel_21,OEmodel_21,1,3,2,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_11-OEmodel_302,KOmodel_11,OEmodel_30,1,4,2,380,0.0383590783638982,0.0383590783638982,KO,OE,KO_Vs_OE
KOmodel_23-OEmodel_302,KOmodel_23,OEmodel_30,1,3,2,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_44-OEmodel_302,KOmodel_44,OEmodel_30,1,2,2,382,0.0231354218340603,0.0231354218340603,KO,OE,KO_Vs_OE
KOmodel_19-OEmodel_292,KOmodel_19,OEmodel_29,1,3,2,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_12-OEmodel_222,KOmodel_12,OEmodel_22,1,4,2,380,0.0383590783638982,0.0383590783638982,KO,OE,KO_Vs_OE
KOmodel_44-OEmodel_222,KOmodel_44,OEmodel_22,1,2,2,382,0.0231354218340603,0.0231354218340603,KO,OE,KO_Vs_OE
KOmodel_16-OEmodel_232,KOmodel_16,OEmodel_23,1,3,2,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_41-OEmodel_162,KOmodel_41,OEmodel_16,1,2,2,382,0.0231354218340603,0.0231354218340603,KO,OE,KO_Vs_OE
KOmodel_37-OEmodel_192,KOmodel_37,OEmodel_19,1,2,2,382,0.0231354218340603,0.0231354218340603,KO,OE,KO_Vs_OE
KOmodel_29-OEmodel_282,KOmodel_29,OEmodel_28,1,2,2,382,0.0231354218340603,0.0231354218340603,KO,OE,KO_Vs_OE
KOmodel_12-OEmodel_342,KOmodel_12,OEmodel_34,1,4,2,380,0.0383590783638982,0.0383590783638982,KO,OE,KO_Vs_OE
KOmodel_38-OEmodel_342,KOmodel_38,OEmodel_34,1,2,2,382,0.0231354218340603,0.0231354218340603,KO,OE,KO_Vs_OE
KOmodel_17-OEmodel_312,KOmodel_17,OEmodel_31,1,3,2,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_41-OEmodel_312,KOmodel_41,OEmodel_31,1,2,2,382,0.0231354218340603,0.0231354218340603,KO,OE,KO_Vs_OE
KOmodel_3-OEmodel_132,KOmodel_3,OEmodel_13,1,5,2,379,0.0459112321987369,0.0459112321987369,KO,OE,KO_Vs_OE
KOmodel_6-OEmodel_132,KOmodel_6,OEmodel_13,1,5,2,379,0.0459112321987369,0.0459112321987369,KO,OE,KO_Vs_OE
KOmodel_11-OEmodel_202,KOmodel_11,OEmodel_20,1,4,2,380,0.0383590783638982,0.0383590783638982,KO,OE,KO_Vs_OE
KOmodel_29-WTmodel_21,KOmodel_29,WTmodel_2,1,2,4,390,0.0374026912623351,0.0374026912623351,KO,WT,KO_Vs_WT
KOmodel_38-WTmodel_61,KOmodel_38,WTmodel_6,1,2,4,390,0.0374026912623351,0.0374026912623351,KO,WT,KO_Vs_WT
KOmodel_19-WTmodel_11,KOmodel_19,WTmodel_1,1,3,4,389,0.0496183931498688,0.0496183931498688,KO,WT,KO_Vs_WT
KOmodel_42-WTmodel_81,KOmodel_42,WTmodel_8,1,2,3,391,0.0299980965797373,0.0299980965797373,KO,WT,KO_Vs_WT
KOmodel_34-WTmodel_81,KOmodel_34,WTmodel_8,1,2,3,391,0.0299980965797373,0.0299980965797373,KO,WT,KO_Vs_WT
KOmodel_9-WTmodel_91,KOmodel_9,WTmodel_9,1,4,3,389,0.0496183931498685,0.0496183931498685,KO,WT,KO_Vs_WT
KOmodel_26-WTmodel_91,KOmodel_26,WTmodel_9,1,2,3,391,0.0299980965797373,0.0299980965797373,KO,WT,KO_Vs_WT
KOmodel_25-WTmodel_151,KOmodel_25,WTmodel_15,1,3,3,390,0.0398458316398416,0.0398458316398416,KO,WT,KO_Vs_WT
KOmodel_29-WTmodel_151,KOmodel_29,WTmodel_15,1,2,3,391,0.0299980965797373,0.0299980965797373,KO,WT,KO_Vs_WT
KOmodel_32-WTmodel_121,KOmodel_32,WTmodel_12,1,2,3,391,0.0299980965797373,0.0299980965797373,KO,WT,KO_Vs_WT
KOmodel_30-WTmodel_141,KOmodel_30,WTmodel_14,1,2,3,391,0.0299980965797373,0.0299980965797373,KO,WT,KO_Vs_WT
KOmodel_11-WTmodel_71,KOmodel_11,WTmodel_7,1,4,3,389,0.0496183931498685,0.0496183931498685,KO,WT,KO_Vs_WT
KOmodel_17-WTmodel_71,KOmodel_17,WTmodel_7,1,3,3,390,0.0398458316398416,0.0398458316398416,KO,WT,KO_Vs_WT
KOmodel_37-WTmodel_71,KOmodel_37,WTmodel_7,1,2,3,391,0.0299980965797373,0.0299980965797373,KO,WT,KO_Vs_WT
KOmodel_15-WTmodel_111,KOmodel_15,WTmodel_11,1,3,3,390,0.0398458316398416,0.0398458316398416,KO,WT,KO_Vs_WT
KOmodel_34-WTmodel_161,KOmodel_34,WTmodel_16,1,2,3,391,0.0299980965797373,0.0299980965797373,KO,WT,KO_Vs_WT
KOmodel_40-WTmodel_161,KOmodel_40,WTmodel_16,1,2,3,391,0.0299980965797373,0.0299980965797373,KO,WT,KO_Vs_WT
KOmodel_6-WTmodel_201,KOmodel_6,WTmodel_20,1,5,2,389,0.044769507400633,0.044769507400633,KO,WT,KO_Vs_WT
KOmodel_16-WTmodel_201,KOmodel_16,WTmodel_20,1,3,2,391,0.0299980965797371,0.0299980965797371,KO,WT,KO_Vs_WT
KOmodel_3-WTmodel_191,KOmodel_3,WTmodel_19,1,5,2,389,0.044769507400633,0.044769507400633,KO,WT,KO_Vs_WT
KOmodel_6-WTmodel_301,KOmodel_6,WTmodel_30,1,5,2,389,0.044769507400633,0.044769507400633,KO,WT,KO_Vs_WT
KOmodel_32-WTmodel_301,KOmodel_32,WTmodel_30,1,2,2,392,0.0225556267325229,0.0225556267325229,KO,WT,KO_Vs_WT
KOmodel_5-WTmodel_241,KOmodel_5,WTmodel_24,1,5,2,389,0.044769507400633,0.044769507400633,KO,WT,KO_Vs_WT
KOmodel_23-WTmodel_241,KOmodel_23,WTmodel_24,1,3,2,391,0.0299980965797371,0.0299980965797371,KO,WT,KO_Vs_WT
KOmodel_20-WTmodel_241,KOmodel_20,WTmodel_24,1,3,2,391,0.0299980965797371,0.0299980965797371,KO,WT,KO_Vs_WT
KOmodel_10-WTmodel_231,KOmodel_10,WTmodel_23,1,4,2,390,0.0374026912623346,0.0374026912623346,KO,WT,KO_Vs_WT
KOmodel_3-WTmodel_331,KOmodel_3,WTmodel_33,1,5,2,389,0.044769507400633,0.044769507400633,KO,WT,KO_Vs_WT
KOmodel_12-WTmodel_331,KOmodel_12,WTmodel_33,1,4,2,390,0.0374026912623346,0.0374026912623346,KO,WT,KO_Vs_WT
KOmodel_29-WTmodel_371,KOmodel_29,WTmodel_37,1,2,2,392,0.0225556267325229,0.0225556267325229,KO,WT,KO_Vs_WT
KOmodel_25-WTmodel_341,KOmodel_25,WTmodel_34,1,3,2,391,0.0299980965797371,0.0299980965797371,KO,WT,KO_Vs_WT
KOmodel_7-WTmodel_351,KOmodel_7,WTmodel_35,1,4,2,390,0.0374026912623346,0.0374026912623346,KO,WT,KO_Vs_WT
KOmodel_10-WTmodel_221,KOmodel_10,WTmodel_22,1,4,2,390,0.0374026912623346,0.0374026912623346,KO,WT,KO_Vs_WT
OEmodel_35-WTmodel_4,OEmodel_35,WTmodel_4,1,2,4,370,0.0393656526892039,0.0393656526892039,OE,WT,OE_Vs_WT
OEmodel_20-WTmodel_3,OEmodel_20,WTmodel_3,1,2,4,370,0.0393656526892039,0.0393656526892039,OE,WT,OE_Vs_WT
OEmodel_15-WTmodel_17,OEmodel_15,WTmodel_17,1,2,3,371,0.0315767255488459,0.0315767255488459,OE,WT,OE_Vs_WT
OEmodel_17-WTmodel_15,OEmodel_17,WTmodel_15,1,2,3,371,0.0315767255488459,0.0315767255488459,OE,WT,OE_Vs_WT
OEmodel_26-WTmodel_10,OEmodel_26,WTmodel_10,1,2,3,371,0.0315767255488459,0.0315767255488459,OE,WT,OE_Vs_WT
OEmodel_3-WTmodel_14,OEmodel_3,WTmodel_14,2,4,2,369,0.00125181796754021,0.00125181796754021,OE,WT,OE_Vs_WT
OEmodel_31-WTmodel_7,OEmodel_31,WTmodel_7,1,2,3,371,0.0315767255488459,0.0315767255488459,OE,WT,OE_Vs_WT
OEmodel_28-WTmodel_11,OEmodel_28,WTmodel_11,1,2,3,371,0.0315767255488459,0.0315767255488459,OE,WT,OE_Vs_WT
OEmodel_21-WTmodel_20,OEmodel_21,WTmodel_20,1,2,2,372,0.0237458095829334,0.0237458095829334,OE,WT,OE_Vs_WT
OEmodel_7-WTmodel_18,OEmodel_7,WTmodel_18,1,3,2,371,0.0315767255488458,0.0315767255488458,OE,WT,OE_Vs_WT
OEmodel_4-WTmodel_30,OEmodel_4,WTmodel_30,1,4,2,370,0.0393656526892034,0.0393656526892034,OE,WT,OE_Vs_WT
OEmodel_23-WTmodel_26,OEmodel_23,WTmodel_26,1,2,2,372,0.0237458095829334,0.0237458095829334,OE,WT,OE_Vs_WT
OEmodel_28-WTmodel_37,OEmodel_28,WTmodel_37,1,2,2,372,0.0237458095829334,0.0237458095829334,OE,WT,OE_Vs_WT
OEmodel_3-WTmodel_34,OEmodel_3,WTmodel_34,1,5,2,369,0.0471127038771939,0.0471127038771939,OE,WT,OE_Vs_WT
OEmodel_35-WTmodel_36,OEmodel_35,WTmodel_36,1,2,2,372,0.0237458095829334,0.0237458095829334,OE,WT,OE_Vs_WT
OEmodel_5-WTmodel_31,OEmodel_5,WTmodel_31,1,4,2,370,0.0393656526892034,0.0393656526892034,OE,WT,OE_Vs_WT
OEmodel_6-WTmodel_35,OEmodel_6,WTmodel_35,1,3,2,371,0.0315767255488458,0.0315767255488458,OE,WT,OE_Vs_WT
OEmodel_34-WTmodel_35,OEmodel_34,WTmodel_35,1,2,2,372,0.0237458095829334,0.0237458095829334,OE,WT,OE_Vs_WT
OEmodel_26-WTmodel_28,OEmodel_26,WTmodel_28,1,2,2,372,0.0237458095829334,0.0237458095829334,OE,WT,OE_Vs_WT
OEmodel_20-WTmodel_21,OEmodel_20,WTmodel_21,1,2,2,372,0.0237458095829334,0.0237458095829334,OE,WT,OE_Vs_WT
