ASV.name,igraph.degree.KO,igraph.closeness.KO,igraph.betweenness.KO,igraph.cen.degree.KO,Group.KO,igraph.degree.OE,igraph.closeness.OE,igraph.betweenness.OE,igraph.cen.degree.OE,Group.OE,igraph.degree.WT,igraph.closeness.WT,igraph.betweenness.WT,igraph.cen.degree.WT,Group.WT
ASV_180,2,1,0,2,KO,3,1,0,3,OE,1,1,0,1,WT
ASV_378,2,1,0,2,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_20,4,1,0,4,KO,NA,NA,NA,NA,NA,4,1,0,4,WT
ASV_193,4,1,0,4,KO,NA,NA,NA,NA,NA,2,1,0,2,WT
ASV_309,4,1,0,4,KO,NA,NA,NA,NA,NA,2,1,0,2,WT
ASV_417,4,1,0,4,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_39,3,1,0,3,KO,1,1,0,1,OE,1,1,0,1,WT
ASV_60,3,1,0,3,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_143,3,1,0,3,KO,NA,NA,NA,NA,NA,1,1,0,1,WT
ASV_140,2,1,0,2,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_260,2,1,0,2,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_148,2,1,0,2,KO,NA,NA,NA,NA,NA,4,1,0,4,WT
ASV_186,2,1,0,2,KO,2,1,0,2,OE,2,1,0,2,WT
ASV_62,6,1,0,6,KO,NA,NA,NA,NA,NA,2,1,0,2,WT
ASV_55,6,1,0,6,KO,1,1,0,1,OE,1,1,0,1,WT
ASV_122,6,1,0,6,KO,3,1,0,3,OE,1,1,0,1,WT
ASV_224,6,1,0,6,KO,3,1,0,3,OE,NA,NA,NA,NA,NA
ASV_248,6,1,0,6,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_395,6,1,0,6,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_135,4,1,0,4,KO,1,1,0,1,OE,1,1,0,1,WT
ASV_344,4,1,0,4,KO,NA,NA,NA,NA,NA,1,1,0,1,WT
ASV_517,4,1,0,4,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_435,4,1,0,4,KO,NA,NA,NA,NA,NA,1,1,0,1,WT
ASV_393,2,1,0,2,KO,NA,NA,NA,NA,NA,1,1,0,1,WT
ASV_229,2,1,0,2,KO,1,1,0,1,OE,1,1,0,1,WT
ASV_22,1,1,0,1,KO,4,1,0,4,OE,4,1,0,4,WT
ASV_216,4,1,0,4,KO,NA,NA,NA,NA,NA,1,1,0,1,WT
ASV_109,4,1,0,4,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_240,4,1,0,4,KO,3,1,0,3,OE,2,1,0,2,WT
ASV_382,4,1,0,4,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_184,1,1,0,1,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_48,3,1,0,3,KO,1,1,0,1,OE,1,1,0,1,WT
ASV_179,3,1,0,3,KO,2,1,0,2,OE,2,1,0,2,WT
ASV_354,3,1,0,3,KO,2,1,0,2,OE,NA,NA,NA,NA,NA
ASV_124,4,1,0,4,KO,1,1,0,1,OE,1,1,0,1,WT
ASV_244,4,1,0,4,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_119,4,1,0,4,KO,NA,NA,NA,NA,NA,1,1,0,1,WT
ASV_360,4,1,0,4,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_95,5,1,0,5,KO,4,1,0,4,OE,NA,NA,NA,NA,NA
ASV_138,5,1,0,5,KO,NA,NA,NA,NA,NA,1,1,0,1,WT
ASV_153,5,1,0,5,KO,2,1,0,2,OE,1,1,0,1,WT
ASV_245,5,1,0,5,KO,1,1,0,1,OE,2,1,0,2,WT
ASV_385,5,1,0,5,KO,NA,NA,NA,NA,NA,1,1,0,1,WT
ASV_29,2,1,0,2,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_345,2,1,0,2,KO,1,1,0,1,OE,3,1,0,3,WT
ASV_31,1,1,0,1,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_242,1,1,0,1,KO,2,1,0,2,OE,1,1,0,1,WT
ASV_45,5,1,0,5,KO,6,1,0,6,OE,1,1,0,1,WT
ASV_38,5,1,0,5,KO,1,1,0,1,OE,3,1,0,3,WT
ASV_99,5,1,0,5,KO,5,1,0,5,OE,3,1,0,3,WT
ASV_187,5,1,0,5,KO,1,1,0,1,OE,1,1,0,1,WT
ASV_205,5,1,0,5,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_70,1,1,0,1,KO,1,1,0,1,OE,3,1,0,3,WT
ASV_49,5,1,0,5,KO,1,1,0,1,OE,2,1,0,2,WT
ASV_105,5,1,0,5,KO,1,1,0,1,OE,2,1,0,2,WT
ASV_264,5,1,0,5,KO,1,1,0,1,OE,1,1,0,1,WT
ASV_235,5,1,0,5,KO,2,1,0,2,OE,1,1,0,1,WT
ASV_420,5,1,0,5,KO,2,1,0,2,OE,NA,NA,NA,NA,NA
ASV_2250,2,1,0,2,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_351,2,1,0,2,KO,3,1,0,3,OE,NA,NA,NA,NA,NA
ASV_347,1,1,0,1,KO,2,1,0,2,OE,1,1,0,1,WT
ASV_221,1,1,0,1,KO,2,1,0,2,OE,1,1,0,1,WT
ASV_77,2,1,0,2,KO,4,1,0,4,OE,2,1,0,2,WT
ASV_271,2,1,0,2,KO,1,1,0,1,OE,1,1,0,1,WT
ASV_52,3,1,0,3,KO,NA,NA,NA,NA,NA,1,1,0,1,WT
ASV_165,3,1,0,3,KO,2,1,0,2,OE,1,1,0,1,WT
ASV_230,3,1,0,3,KO,1,1,0,1,OE,1,1,0,1,WT
ASV_128,2,1,0,2,KO,6,1,0,6,OE,1,1,0,1,WT
ASV_294,2,1,0,2,KO,NA,NA,NA,NA,NA,3,1,0,3,WT
ASV_92,1,1,0,1,KO,3,1,0,3,OE,1,1,0,1,WT
ASV_185,1,1,0,1,KO,4,1,0,4,OE,2,1,0,2,WT
ASV_175,3,1,0,3,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_113,3,1,0,3,KO,NA,NA,NA,NA,NA,1,1,0,1,WT
ASV_189,3,1,0,3,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_556,1,1,0,1,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_125,3,1,0,3,KO,NA,NA,NA,NA,NA,1,1,0,1,WT
ASV_338,3,1,0,3,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_236,3,1,0,3,KO,2,1,0,2,OE,3,1,0,3,WT
ASV_1156,1,1,0,1,KO,1,1,0,1,OE,4,1,0,4,WT
ASV_188,1,1,0,1,KO,1,1,0,1,OE,1,1,0,1,WT
ASV_349,1,1,0,1,KO,3,1,0,3,OE,1,1,0,1,WT
ASV_507,1,1,0,1,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_297,2,1,0,2,KO,6,1,0,6,OE,1,1,0,1,WT
ASV_458,2,1,0,2,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_75,2,1,0,2,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_277,2,1,0,2,KO,1,1,0,1,OE,1,1,0,1,WT
ASV_155,2,1,0,2,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_258,2,1,0,2,KO,1,1,0,1,OE,1,1,0,1,WT
ASV_66,4,1,0,4,KO,2,1,0,2,OE,1,1,0,1,WT
ASV_86,4,1,0,4,KO,1,1,0,1,OE,3,1,0,3,WT
ASV_357,4,1,0,4,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_343,4,1,0,4,KO,2,1,0,2,OE,4,1,0,4,WT
ASV_103,1,1,0,1,KO,2,1,0,2,OE,2,1,0,2,WT
ASV_292,2,1,0,2,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_298,2,1,0,2,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_87,3,1,0,3,KO,NA,NA,NA,NA,NA,1,1,0,1,WT
ASV_159,3,1,0,3,KO,1,1,0,1,OE,1,1,0,1,WT
ASV_172,3,1,0,3,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_412,1,1,0,1,KO,NA,NA,NA,NA,NA,2,1,0,2,WT
ASV_80,3,1,0,3,KO,2,1,0,2,OE,NA,NA,NA,NA,NA
ASV_288,3,1,0,3,KO,2,1,0,2,OE,1,1,0,1,WT
ASV_217,3,1,0,3,KO,3,1,0,3,OE,1,1,0,1,WT
ASV_408,1,1,0,1,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_633,5,1,4,5,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_115,5,1,0,5,KO,2,1,0,2,OE,NA,NA,NA,NA,NA
ASV_198,5,1,0,5,KO,NA,NA,NA,NA,NA,2,1,0,2,WT
ASV_220,5,1,0,5,KO,2,1,0,2,OE,NA,NA,NA,NA,NA
ASV_433,5,1,0,5,KO,NA,NA,NA,NA,NA,2,1,0,2,WT
ASV_450,5,1,0,5,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_452,1,1,0,1,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_136,1,1,0,1,KO,1,1,0,1,OE,1,1,0,1,WT
ASV_312,1,1,0,1,KO,5,1,0,5,OE,NA,NA,NA,NA,NA
ASV_266,3,1,0,3,KO,1,1,0,1,OE,1,1,0,1,WT
ASV_661,3,1,0,3,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_327,3,1,0,3,KO,2,1,0,2,OE,NA,NA,NA,NA,NA
ASV_426,1,1,0,1,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_282,2,1,0,2,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_281,2,1,0,2,KO,2,1,0,2,OE,1,1,0,1,WT
ASV_181,2,1,0,2,KO,3,1,0,3,OE,NA,NA,NA,NA,NA
ASV_460,2,1,0,2,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_129,4,1,0,4,KO,1,1,0,1,OE,2,1,0,2,WT
ASV_93,4,1,0,4,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_199,4,1,0,4,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_355,4,1,0,4,KO,2,1,0,2,OE,1,1,0,1,WT
ASV_512,1,1,0,1,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_147,3,1,0,3,KO,2,1,0,2,OE,1,1,0,1,WT
ASV_320,3,1,0,3,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_409,3,1,0,3,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_279,1,1,0,1,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_436,1,1,0,1,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_278,2,1,0,2,KO,2,1,0,2,OE,1,1,0,1,WT
ASV_203,2,1,0,2,KO,NA,NA,NA,NA,NA,1,1,0,1,WT
ASV_267,1,1,0,1,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_341,1,1,0,1,KO,NA,NA,NA,NA,NA,2,1,0,2,WT
ASV_142,6,1,0,6,KO,2,1,0,2,OE,1,1,0,1,WT
ASV_225,6,1,0,6,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_465,6,1,0,6,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_256,6,1,0,6,KO,2,1,0,2,OE,NA,NA,NA,NA,NA
ASV_419,6,1,0,6,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_362,6,1,0,6,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_478,1,1,0,1,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_222,1,1,0,1,KO,1,1,0,1,OE,1,1,0,1,WT
ASV_342,1,1,0,1,KO,2,1,0,2,OE,NA,NA,NA,NA,NA
ASV_490,1,1,0,1,KO,NA,NA,NA,NA,NA,2,1,0,2,WT
ASV_241,1,1,0,1,KO,2,1,0,2,OE,3,1,0,3,WT
ASV_164,2,1,0,2,KO,1,1,0,1,OE,1,1,0,1,WT
ASV_214,2,1,0,2,KO,2,1,0,2,OE,NA,NA,NA,NA,NA
ASV_359,1,1,0,1,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_410,1,1,0,1,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_163,1,1,0,1,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_307,1,1,0,1,KO,NA,NA,NA,NA,NA,2,1,0,2,WT
ASV_233,1,1,0,1,KO,1,1,0,1,OE,1,1,0,1,WT
ASV_226,4,0.8333333333333334,0,4,KO,1,1,0,1,OE,3,1,0,3,WT
ASV_402,4,0.8333333333333334,0,4,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_330,4,0.8333333333333334,0,4,KO,1,1,0,1,OE,4,1,0,4,WT
ASV_262,3,1,0,3,KO,3,1,0,3,OE,1,1,0,1,WT
ASV_416,3,1,0,3,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_208,3,1,0,3,KO,5,1,0,5,OE,2,1,0,2,WT
ASV_169,3,1,0,3,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_200,3,1,0,3,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_250,3,1,0,3,KO,NA,NA,NA,NA,NA,2,1,0,2,WT
ASV_228,1,1,0,1,KO,1,1,0,1,OE,3,1,0,3,WT
ASV_285,1,1,0,1,KO,1,1,0,1,OE,1,1,0,1,WT
ASV_379,1,1,0,1,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_231,1,1,0,1,KO,2,1,0,2,OE,1,1,0,1,WT
ASV_578,1,1,0,1,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_259,1,1,0,1,KO,2,1,0,2,OE,2,1,0,2,WT
ASV_405,1,1,0,1,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_268,1,1,0,1,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_332,1,1,0,1,KO,NA,NA,NA,NA,NA,2,1,0,2,WT
ASV_246,1,1,0,1,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_389,1,1,0,1,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_177,2,1,0,2,KO,NA,NA,NA,NA,NA,1,1,0,1,WT
ASV_295,2,1,0,2,KO,1,1,0,1,OE,1,1,0,1,WT
ASV_356,1,1,0,1,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_1843,1,1,0,1,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_387,2,1,0,2,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_361,2,1,0,2,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_477,1,1,0,1,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_112,2,1,0,2,KO,2,1,0,2,OE,1,1,0,1,WT
ASV_286,2,1,0,2,KO,2,1,0,2,OE,1,1,0,1,WT
ASV_407,1,1,0,1,KO,NA,NA,NA,NA,NA,4,1,0,4,WT
ASV_493,1,1,0,1,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_2,2,1,0,2,KO,1,1,0,1,OE,3,1,0,3,WT
ASV_1,4,1,0,4,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_6,3,1,0,3,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_3,2,1,0,2,KO,1,1,0,1,OE,1,1,0,1,WT
ASV_10,2,1,0,2,KO,1,1,0,1,OE,3,1,0,3,WT
ASV_7,6,1,0,6,KO,NA,NA,NA,NA,NA,1,1,0,1,WT
ASV_9,4,1,0,4,KO,NA,NA,NA,NA,NA,3,1,0,3,WT
ASV_15,2,1,0,2,KO,2,1,0,2,OE,1,1,0,1,WT
ASV_11,1,1,0,1,KO,1,1,0,1,OE,2,1,0,2,WT
ASV_13,4,1,0,4,KO,NA,NA,NA,NA,NA,1,1,0,1,WT
ASV_24,1,1,0,1,KO,1,1,0,1,OE,4,1,0,4,WT
ASV_19,3,1,0,3,KO,4,1,0,4,OE,1,1,0,1,WT
ASV_16,4,1,0,4,KO,6,1,0,6,OE,1,1,0,1,WT
ASV_25,5,1,0,5,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_18,2,1,0,2,KO,NA,NA,NA,NA,NA,3,1,0,3,WT
ASV_69,1,1,0,1,KO,NA,NA,NA,NA,NA,1,1,0,1,WT
ASV_44,1,1,0,1,KO,1,1,0,1,OE,4,1,0,4,WT
ASV_36,5,1,0,5,KO,1,1,0,1,OE,4,1,0,4,WT
ASV_30,1,1,0,1,KO,2,1,0,2,OE,NA,NA,NA,NA,NA
ASV_21,5,1,0,5,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_42,2,1,0,2,KO,1,1,0,1,OE,3,1,0,3,WT
ASV_51,1,1,0,1,KO,2,1,0,2,OE,1,1,0,1,WT
ASV_35,1,1,0,1,KO,NA,NA,NA,NA,NA,1,1,0,1,WT
ASV_33,2,1,0,2,KO,6,1,0,6,OE,3,1,0,3,WT
ASV_56,3,1,0,3,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_32,2,1,0,2,KO,4,1,0,4,OE,1,1,0,1,WT
ASV_166,1,1,0,1,KO,1,1,0,1,OE,2,1,0,2,WT
ASV_73,1,1,0,1,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_63,3,1,0,3,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_88,1,1,0,1,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_59,3,1,0,3,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_34,1,1,0,1,KO,NA,NA,NA,NA,NA,1,1,0,1,WT
ASV_79,1,1,0,1,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_53,1,1,0,1,KO,1,1,0,1,OE,4,1,0,4,WT
ASV_46,1,1,0,1,KO,3,1,0,3,OE,2,1,0,2,WT
ASV_71,2,1,0,2,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_61,2,1,0,2,KO,NA,NA,NA,NA,NA,1,1,0,1,WT
ASV_84,2,1,0,2,KO,1,1,0,1,OE,1,1,0,1,WT
ASV_96,4,1,0,4,KO,1,1,0,1,OE,1,1,0,1,WT
ASV_65,1,1,0,1,KO,1,1,0,1,OE,1,1,0,1,WT
ASV_74,2,1,0,2,KO,NA,NA,NA,NA,NA,3,1,0,3,WT
ASV_43,3,1,0,3,KO,1,1,0,1,OE,3,1,0,3,WT
ASV_68,1,1,0,1,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
